names	accessions	source	normalized	description
CN_hydrolase	PF00795.21	Pfam	PF00795	Carbon-nitrogen hydrolase
CoaE	PF01121.19	Pfam	PF01121	Dephospho-CoA kinase
CoA_binding	PF02629.18	Pfam	PF02629	CoA binding domain
CoA_binding_2	PF13380.5	Pfam	PF13380	CoA binding domain
CoA_trans	PF01144.22	Pfam	PF01144	Coenzyme A transferase
CoA_transf_3	PF02515.16	Pfam	PF02515	CoA-transferase family III
CobA_CobO_BtuR	PF02572.14	Pfam	PF02572	ATP:corrinoid adenosyltransferase BtuR/CobO/CobP
CobD_Cbib	PF03186.12	Pfam	PF03186	CobD/Cbib protein
CobN-Mg_chel	PF02514.15	Pfam	PF02514	CobN/Magnesium Chelatase
CobS	PF02654.14	Pfam	PF02654	Cobalamin-5-phosphate synthase
CobT_C	PF11775.7	Pfam	PF11775	Cobalamin biosynthesis protein CobT VWA domain
CobU	PF02283.15	Pfam	PF02283	Cobinamide kinase / cobinamide phosphate guanyltransferase
Cob_adeno_trans	PF01923.17	Pfam	PF01923	Cobalamin adenosyltransferase
COesterase	PF00135.27	Pfam	PF00135	Carboxylesterase family
CofC	PF01983.15	Pfam	PF01983	Guanylyl transferase CofC like
ComA	PF02679.14	Pfam	PF02679	(2R)-phospho-3-sulfolactate synthase (ComA)
Complex1_30kDa	PF00329.18	Pfam	PF00329	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
Complex1_49kDa	PF00346.18	Pfam	PF00346	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
Complex1_51K	PF01512.16	Pfam	PF01512	Respiratory-chain NADH dehydrogenase 51 Kd subunit
Cons_hypoth95	PF03602.14	Pfam	PF03602	Conserved hypothetical protein 95
Coprogen_oxidas	PF01218.17	Pfam	PF01218	Coproporphyrinogen III oxidase
COX1	PF00115.19	Pfam	PF00115	Cytochrome C and Quinol oxidase polypeptide I
COX2	PF00116.19	Pfam	PF00116	Cytochrome C oxidase subunit II, periplasmic domain
COX2_TM	PF02790.14	Pfam	PF02790	Cytochrome C oxidase subunit II, transmembrane domain
COX3	PF00510.17	Pfam	PF00510	Cytochrome c oxidase subunit III
COX4	PF02936.13	Pfam	PF02936	Cytochrome c oxidase subunit IV
COX4_pro	PF03626.13	Pfam	PF03626	Prokaryotic Cytochrome C oxidase subunit IV
COX7C	PF02935.15	Pfam	PF02935	Cytochrome c oxidase subunit VIIc
CO_deh_flav_C	PF03450.16	Pfam	PF03450	CO dehydrogenase flavoprotein C-terminal domain
CP12	PF02672.14	Pfam	PF02672	CP12 domain
CpcD	PF01383.20	Pfam	PF01383	CpcD/allophycocyanin linker domain
Cpn10	PF00166.20	Pfam	PF00166	Chaperonin 10 Kd subunit
Cpn60_TCP1	PF00118.23	Pfam	PF00118	TCP-1/cpn60 chaperonin family
CPSase_L_D2	PF02786.16	Pfam	PF02786	Carbamoyl-phosphate synthase L chain, ATP binding domain
CPSase_L_D3	PF02787.18	Pfam	PF02787	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
CPSase_sm_chain	PF00988.21	Pfam	PF00988	Carbamoyl-phosphate synthase small chain, CPSase domain
CP_ATPgrasp_1	PF04174.12	Pfam	PF04174	A circularly permuted ATPgrasp
CRAL_TRIO	PF00650.19	Pfam	PF00650	CRAL/TRIO domain
Creatinase_N	PF01321.17	Pfam	PF01321	Creatinase/Prolidase N-terminal domain
Creatininase	PF02633.13	Pfam	PF02633	Creatinine amidohydrolase
CrtC	PF07143.10	Pfam	PF07143	CrtC N-terminal lipocalin domain
CS	PF04969.15	Pfam	PF04969	CS domain
CSS-motif	PF12792.6	Pfam	PF12792	CSS motif domain associated with EAL
CTP_synth_N	PF06418.13	Pfam	PF06418	CTP synthase N-terminus
CTP_transf_1	PF01148.19	Pfam	PF01148	Cytidylyltransferase family
CTP_transf_3	PF02348.18	Pfam	PF02348	Cytidylyltransferase
CTP_transf_like	PF01467.25	Pfam	PF01467	Cytidylyltransferase-like
CT_A_B	PF02626.14	Pfam	PF02626	Carboxyltransferase domain, subdomain A and B
CT_C_D	PF02682.15	Pfam	PF02682	Carboxyltransferase domain, subdomain C and D
Cu-oxidase	PF00394.21	Pfam	PF00394	Multicopper oxidase
Cu-oxidase_2	PF07731.13	Pfam	PF07731	Multicopper oxidase
Cu-oxidase_3	PF07732.14	Pfam	PF07732	Multicopper oxidase
Cu2_monoox_C	PF03712.14	Pfam	PF03712	Copper type II ascorbate-dependent monooxygenase, C-terminal domain
Cutinase	PF01083.21	Pfam	PF01083	Cutinase
Cu_amine_oxid	PF01179.19	Pfam	PF01179	Copper amine oxidase, enzyme domain
Cu_amine_oxidN1	PF07833.10	Pfam	PF07833	Copper amine oxidase N-terminal domain
Cu_amine_oxidN2	PF02727.15	Pfam	PF02727	Copper amine oxidase, N2 domain
Cu_amine_oxidN3	PF02728.15	Pfam	PF02728	Copper amine oxidase, N3 domain
Cyanate_lyase	PF02560.13	Pfam	PF02560	Cyanate lyase C-terminal domain
Cyc-maltodext_C	PF10438.8	Pfam	PF10438	Cyclo-malto-dextrinase C-terminal domain
Cyclase	PF04199.12	Pfam	PF04199	Putative cyclase
Cyclase_polyket	PF04673.11	Pfam	PF04673	Polyketide synthesis cyclase
CysG_dimeriser	PF10414.8	Pfam	PF10414	Sirohaem synthase dimerisation region
Cys_Met_Meta_PP	PF01053.19	Pfam	PF01053	Cys/Met metabolism PLP-dependent enzyme
Cyt-b5	PF00173.27	Pfam	PF00173	Cytochrome b5-like Heme/Steroid binding domain
CYTH	PF01928.20	Pfam	PF01928	CYTH domain
Cytidylate_kin	PF02224.17	Pfam	PF02224	Cytidylate kinase
Cytochrome_C7	PF14522.5	Pfam	PF14522	Cytochrome c7 and related cytochrome c
Cytochrome_CBB3	PF13442.5	Pfam	PF13442	Cytochrome C oxidase, cbb3-type, subunit III
Cytochrom_B561	PF03188.15	Pfam	PF03188	Eukaryotic cytochrome b561
Cytochrom_C	PF00034.20	Pfam	PF00034	Cytochrome c
Cytochrom_C552	PF02335.14	Pfam	PF02335	Cytochrome c552
Cytochrom_D1	PF02239.15	Pfam	PF02239	Cytochrome D1 heme domain
Cytokin-bind	PF09265.9	Pfam	PF09265	Cytokinin dehydrogenase 1, FAD and cytokinin binding
Cyto_heme_lyase	PF01265.16	Pfam	PF01265	Cytochrome c/c1 heme lyase
Cyt_c_ox_IV	PF12270.7	Pfam	PF12270	Cytochrome c oxidase subunit IV
D-ser_dehydrat	PF14031.5	Pfam	PF14031	Putative serine dehydratase domain
Dabb	PF07876.11	Pfam	PF07876	Stress responsive A/B Barrel Domain
DAD	PF02109.15	Pfam	PF02109	DAD family
DAGAT	PF03982.12	Pfam	PF03982	Diacylglycerol acyltransferase
DAGK_acc	PF00609.18	Pfam	PF00609	Diacylglycerol kinase accessory domain
DAGK_cat	PF00781.23	Pfam	PF00781	Diacylglycerol kinase catalytic domain
DAGK_prokar	PF01219.18	Pfam	PF01219	Prokaryotic diacylglycerol kinase
DAHP_synth_1	PF00793.19	Pfam	PF00793	DAHP synthetase I family
DAHP_synth_2	PF01474.15	Pfam	PF01474	Class-II DAHP synthetase family
Dak1	PF02733.16	Pfam	PF02733	Dak1 domain
Dak2	PF02734.16	Pfam	PF02734	DAK2 domain
Dala_Dala_lig_C	PF07478.12	Pfam	PF07478	D-ala D-ala ligase C-terminus
Dala_Dala_lig_N	PF01820.20	Pfam	PF01820	D-ala D-ala ligase N-terminus
DAO	PF01266.23	Pfam	PF01266	FAD dependent oxidoreductase
DapB_C	PF05173.13	Pfam	PF05173	Dihydrodipicolinate reductase, C-terminus
DapB_N	PF01113.19	Pfam	PF01113	Dihydrodipicolinate reductase, N-terminus
DAP_B	PF07930.11	Pfam	PF07930	D-aminopeptidase, domain B
DAP_epimerase	PF01678.18	Pfam	PF01678	Diaminopimelate epimerase
DBI_PRT	PF02277.16	Pfam	PF02277	Phosphoribosyltransferase
DCD	PF06559.10	Pfam	PF06559	2'-deoxycytidine 5'-triphosphate deaminase (DCD)
dCMP_cyt_deam_1	PF00383.22	Pfam	PF00383	Cytidine and deoxycytidylate deaminase zinc-binding region
dCMP_cyt_deam_2	PF08211.11	Pfam	PF08211	Cytidine and deoxycytidylate deaminase zinc-binding region
DDOST_48kD	PF03345.13	Pfam	PF03345	Oligosaccharyltransferase 48 kDa subunit beta
DehI	PF10778.8	Pfam	PF10778	Halocarboxylic acid dehydrogenase DehI
Dehydratase_hem	PF13816.5	Pfam	PF13816	Haem-containing dehydratase
Dehydratase_MU	PF02288.14	Pfam	PF02288	Dehydratase medium subunit
Dehydratase_SU	PF02287.14	Pfam	PF02287	Dehydratase small subunit
DEK_C	PF08766.10	Pfam	PF08766	DEK C terminal domain
DeoC	PF01791.8	Pfam	PF01791	DeoC/LacD family aldolase
Desulfoferrodox	PF01880.17	Pfam	PF01880	Desulfoferrodoxin
DFP	PF04127.14	Pfam	PF04127	DNA / pantothenate metabolism flavoprotein
DGOK	PF05035.11	Pfam	PF05035	2-keto-3-deoxy-galactonokinase
DHBP_synthase	PF00926.18	Pfam	PF00926	3,4-dihydroxy-2-butanone 4-phosphate synthase
DHDPS	PF00701.21	Pfam	PF00701	Dihydrodipicolinate synthetase family
DHFR_1	PF00186.18	Pfam	PF00186	Dihydrofolate reductase
DHH	PF01368.19	Pfam	PF01368	DHH family
DHHA2	PF02833.13	Pfam	PF02833	DHHA2 domain
DHHC	PF01529.19	Pfam	PF01529	DHHC palmitoyltransferase
DHODB_Fe-S_bind	PF10418.8	Pfam	PF10418	Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B
DHO_dh	PF01180.20	Pfam	PF01180	Dihydroorotate dehydrogenase
DHQS	PF01959.15	Pfam	PF01959	3-dehydroquinate synthase (EC 4.6.1.3)
DHquinase_I	PF01487.14	Pfam	PF01487	Type I 3-dehydroquinase
DHquinase_II	PF01220.18	Pfam	PF01220	Dehydroquinase class II
DHQ_synthase	PF01761.19	Pfam	PF01761	3-dehydroquinate synthase
DIE2_ALG10	PF04922.11	Pfam	PF04922	DIE2/ALG10 family
Dimerisation	PF08100.10	Pfam	PF08100	Dimerisation domain
Dioxygenase_C	PF00775.20	Pfam	PF00775	Dioxygenase
Dioxygenase_N	PF04444.13	Pfam	PF04444	Catechol dioxygenase N terminus
DIOX_N	PF14226.5	Pfam	PF14226	non-haem dioxygenase in morphine synthesis N-terminal
Diphthamide_syn	PF01866.16	Pfam	PF01866	Putative diphthamide synthesis protein
Diphthami_syn_2	PF01902.16	Pfam	PF01902	Diphthamide synthase
Disintegrin	PF00200.22	Pfam	PF00200	Disintegrin
DiS_P_DiS	PF06750.12	Pfam	PF06750	Bacterial Peptidase A24 N-terminal domain
DJ-1_PfpI	PF01965.23	Pfam	PF01965	DJ-1/PfpI family
DKCLD	PF08068.11	Pfam	PF08068	DKCLD (NUC011) domain
DLH	PF01738.17	Pfam	PF01738	Dienelactone hydrolase family
DmpG_comm	PF07836.10	Pfam	PF07836	DmpG-like communication domain
DMRL_synthase	PF00885.18	Pfam	PF00885	6,7-dimethyl-8-ribityllumazine synthase
dNK	PF01712.18	Pfam	PF01712	Deoxynucleoside kinase
Dockerin_1	PF00404.17	Pfam	PF00404	Dockerin type I repeat
Docking	PF08990.10	Pfam	PF08990	Erythronolide synthase docking
DOMON	PF03351.16	Pfam	PF03351	DOMON domain
DoxA	PF07680.10	Pfam	PF07680	TQO small subunit DoxA
DoxD	PF04173.12	Pfam	PF04173	TQO small subunit DoxD
DPPIV_N	PF00930.20	Pfam	PF00930	Dipeptidyl peptidase IV (DPP IV) N-terminal region
DPRP	PF04244.12	Pfam	PF04244	Deoxyribodipyrimidine photo-lyase-related protein
DRAT	PF07357.10	Pfam	PF07357	Dinitrogenase reductase ADP-ribosyltransferase (DRAT)
DS	PF01916.16	Pfam	PF01916	Deoxyhypusine synthase
DSBA	PF01323.19	Pfam	PF01323	DSBA-like thioredoxin domain
DsbC	PF11412.7	Pfam	PF11412	Disulphide bond corrector protein DsbC
DsbC_N	PF10411.8	Pfam	PF10411	Disulfide bond isomerase protein N-terminus
DsbD	PF02683.14	Pfam	PF02683	Cytochrome C biogenesis protein transmembrane region
DSPc	PF00782.19	Pfam	PF00782	Dual specificity phosphatase, catalytic domain
DSPn	PF14671.5	Pfam	PF14671	Dual specificity protein phosphatase, N-terminal half
DsrC	PF04358.12	Pfam	PF04358	DsrC like protein
DUF1045	PF06299.11	Pfam	PF06299	Protein of unknown function (DUF1045)
DUF108	PF01958.17	Pfam	PF01958	Domain of unknown function DUF108
DUF1100	PF06500.10	Pfam	PF06500	Alpha/beta hydrolase of unknown function (DUF1100)
DUF123	PF01986.15	Pfam	PF01986	Domain of unknown function DUF123
DUF1279	PF06916.12	Pfam	PF06916	Protein of unknown function (DUF1279)
DUF1298	PF06974.12	Pfam	PF06974	Protein of unknown function (DUF1298)
DUF1349	PF07081.10	Pfam	PF07081	Protein of unknown function (DUF1349)
DUF1624	PF07786.11	Pfam	PF07786	Protein of unknown function (DUF1624)
DUF1702	PF08012.10	Pfam	PF08012	Protein of unknown function (DUF1702)
DUF1729	PF08354.9	Pfam	PF08354	Domain of unknown function (DUF1729)
DUF1730	PF08331.9	Pfam	PF08331	Domain of unknown function (DUF1730)
DUF1731	PF08338.10	Pfam	PF08338	Domain of unknown function (DUF1731)
DUF1768	PF08719.10	Pfam	PF08719	Domain of unknown function (DUF1768)
DUF1772	PF08592.10	Pfam	PF08592	Domain of unknown function (DUF1772)
DUF1926	PF09095.10	Pfam	PF09095	Domain of unknown function (DUF1926)
DUF1929	PF09118.10	Pfam	PF09118	Domain of unknown function (DUF1929)
DUF1933	PF09147.9	Pfam	PF09147	Domain of unknown function (DUF1933)
DUF1939	PF09154.9	Pfam	PF09154	Domain of unknown function (DUF1939)
DUF1957	PF09210.10	Pfam	PF09210	Domain of unknown function (DUF1957)
DUF1965	PF09248.9	Pfam	PF09248	Domain of unknown function (DUF1965)
DUF1966	PF09260.10	Pfam	PF09260	Domain of unknown function (DUF1966)
DUF1995	PF09353.9	Pfam	PF09353	Domain of unknown function (DUF1995)
DUF2156	PF09924.8	Pfam	PF09924	Uncharacterised conserved protein (DUF2156)
DUF2183	PF09949.8	Pfam	PF09949	Uncharacterized conserved protein (DUF2183)
DUF2384	PF09722.9	Pfam	PF09722	Protein of unknown function (DUF2384)
DUF2431	PF10354.8	Pfam	PF10354	Domain of unknown function (DUF2431)
DUF294	PF03445.12	Pfam	PF03445	Putative nucleotidyltransferase DUF294
DUF3291	PF11695.7	Pfam	PF11695	Domain of unknown function (DUF3291)
DUF3336	PF11815.7	Pfam	PF11815	Domain of unknown function (DUF3336)
DUF3340	PF11818.7	Pfam	PF11818	C-terminal domain of tail specific protease (DUF3340)
DUF3367	PF11847.7	Pfam	PF11847	Domain of unknown function (DUF3367)
DUF3372	PF11852.7	Pfam	PF11852	Domain of unknown function (DUF3372)
DUF3381	PF11861.7	Pfam	PF11861	Domain of unknown function (DUF3381)
DUF3385	PF11865.7	Pfam	PF11865	Domain of unknown function (DUF3385)
DUF3403	PF11883.7	Pfam	PF11883	Domain of unknown function (DUF3403)
DUF3410	PF11890.7	Pfam	PF11890	Domain of unknown function (DUF3410)
DUF3417	PF11897.7	Pfam	PF11897	Protein of unknown function (DUF3417)
DUF3458	PF11940.7	Pfam	PF11940	Domain of unknown function (DUF3458) Ig-like fold
DUF3459	PF11941.7	Pfam	PF11941	Domain of unknown function (DUF3459)
DUF3479	PF11965.7	Pfam	PF11965	Domain of unknown function (DUF3479)
DUF3488	PF11992.7	Pfam	PF11992	Domain of unknown function (DUF3488)
DUF3543	PF12063.7	Pfam	PF12063	Domain of unknown function (DUF3543)
DUF4033	PF13225.5	Pfam	PF13225	Domain of unknown function (DUF4033)
DUF4057	PF13266.5	Pfam	PF13266	Protein of unknown function (DUF4057)
DUF4111	PF13427.5	Pfam	PF13427	Domain of unknown function (DUF4111)
DUF4118	PF13493.5	Pfam	PF13493	Domain of unknown function (DUF4118)
DUF4129	PF13559.5	Pfam	PF13559	Domain of unknown function (DUF4129)
DUF43	PF01861.15	Pfam	PF01861	Protein of unknown function DUF43
DUF4332	PF14229.5	Pfam	PF14229	Domain of unknown function (DUF4332)
DUF4440	PF14534.5	Pfam	PF14534	Domain of unknown function (DUF4440)
DUF452	PF04301.12	Pfam	PF04301	Protein of unknown function (DUF452)
DUF563	PF04577.13	Pfam	PF04577	Protein of unknown function (DUF563)
DUF608	PF04685.12	Pfam	PF04685	Glycosyl-hydrolase family 116, catalytic region
DUF756	PF05506.11	Pfam	PF05506	Domain of unknown function (DUF756)
DUF89	PF01937.18	Pfam	PF01937	Protein of unknown function DUF89
DUF953	PF06110.10	Pfam	PF06110	Eukaryotic protein of unknown function (DUF953)
DUF971	PF06155.11	Pfam	PF06155	Protein of unknown function (DUF971)
Dus	PF01207.16	Pfam	PF01207	Dihydrouridine synthase (Dus)
DUSP	PF06337.11	Pfam	PF06337	DUSP domain
dUTPase	PF00692.18	Pfam	PF00692	dUTPase
dUTPase_2	PF08761.10	Pfam	PF08761	dUTPase
DXPR_C	PF13288.5	Pfam	PF13288	DXP reductoisomerase C-terminal domain
DXP_reductoisom	PF02670.15	Pfam	PF02670	1-deoxy-D-xylulose 5-phosphate reductoisomerase
DXP_synthase_N	PF13292.5	Pfam	PF13292	1-deoxy-D-xylulose-5-phosphate synthase
Dynamin_M	PF01031.19	Pfam	PF01031	Dynamin central region
Dynamin_N	PF00350.22	Pfam	PF00350	Dynamin family
Dyp_perox	PF04261.11	Pfam	PF04261	Dyp-type peroxidase family
E1_dh	PF00676.19	Pfam	PF00676	Dehydrogenase E1 component
E3_binding	PF02817.16	Pfam	PF02817	e3 binding domain
EAL	PF00563.19	Pfam	PF00563	EAL domain
EBP	PF05241.11	Pfam	PF05241	Emopamil binding protein
EB_dh	PF09459.9	Pfam	PF09459	Ethylbenzene dehydrogenase
ECH_1	PF00378.19	Pfam	PF00378	Enoyl-CoA hydratase/isomerase
Ectoine_synth	PF06339.11	Pfam	PF06339	Ectoine synthase
EF-hand_like	PF09279.10	Pfam	PF09279	Phosphoinositide-specific phospholipase C, efhand-like
EGF_CA	PF07645.14	Pfam	PF07645	Calcium-binding EGF domain
EHN	PF06441.11	Pfam	PF06441	Epoxide hydrolase N terminus
EIIBC-GUT_C	PF07663.10	Pfam	PF07663	Sorbitol phosphotransferase enzyme II C-terminus
ELFV_dehydrog	PF00208.20	Pfam	PF00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
ELFV_dehydrog_N	PF02812.17	Pfam	PF02812	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
ELO	PF01151.17	Pfam	PF01151	GNS1/SUR4 family
EMG1	PF03587.13	Pfam	PF03587	EMG1/NEP1 methyltransferase
End_N_terminal	PF12218.7	Pfam	PF12218	N terminal extension of bacteriophage endosialidase
Eno-Rase_FAD_bd	PF07055.11	Pfam	PF07055	Enoyl reductase FAD binding domain
Enolase_C	PF00113.21	Pfam	PF00113	Enolase, C-terminal TIM barrel domain
Enolase_N	PF03952.15	Pfam	PF03952	Enolase, N-terminal domain
Enoyl_reductase	PF12241.7	Pfam	PF12241	Trans-2-enoyl-CoA reductase catalytic region
Enterotoxin_a	PF01375.16	Pfam	PF01375	Heat-labile enterotoxin alpha chain
Epimerase	PF01370.20	Pfam	PF01370	NAD dependent epimerase/dehydratase family
EPSP_synthase	PF00275.19	Pfam	PF00275	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
ERAP1_C	PF11838.7	Pfam	PF11838	ERAP1-like C-terminal domain
ERG4_ERG24	PF01222.16	Pfam	PF01222	Ergosterol biosynthesis ERG4/ERG24 family
ERp29	PF07749.11	Pfam	PF07749	Endoplasmic reticulum protein ERp29, C-terminal domain
Erythro-docking	PF09277.10	Pfam	PF09277	Erythronolide synthase, docking
Esterase	PF00756.19	Pfam	PF00756	Putative esterase
Esterase_phd	PF10503.8	Pfam	PF10503	Esterase PHB depolymerase
ETF_QO	PF05187.12	Pfam	PF05187	Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S
EutB	PF06751.10	Pfam	PF06751	Ethanolamine ammonia lyase large subunit (EutB)
EutC	PF05985.10	Pfam	PF05985	Ethanolamine ammonia-lyase light chain (EutC)
Exostosin	PF03016.14	Pfam	PF03016	Exostosin family
F-box	PF00646.32	Pfam	PF00646	F-box domain
F-box-like	PF12937.6	Pfam	PF12937	F-box-like
F420_ligase	PF01996.15	Pfam	PF01996	F420-0:Gamma-glutamyl ligase
F420_oxidored	PF03807.16	Pfam	PF03807	NADP oxidoreductase coenzyme F420-dependent
F5_F8_type_C	PF00754.24	Pfam	PF00754	F5/8 type C domain
FAA_hydrolase	PF01557.17	Pfam	PF01557	Fumarylacetoacetate (FAA) hydrolase family
FAA_hydrolase_N	PF09298.10	Pfam	PF09298	Fumarylacetoacetase N-terminal
FabA	PF07977.12	Pfam	PF07977	FabA-like domain
FAD-oxidase_C	PF02913.18	Pfam	PF02913	FAD linked oxidases, C-terminal domain
FAD_binding_1	PF00667.19	Pfam	PF00667	FAD binding domain
FAD_binding_2	PF00890.23	Pfam	PF00890	FAD binding domain
FAD_binding_3	PF01494.18	Pfam	PF01494	FAD binding domain
FAD_binding_4	PF01565.22	Pfam	PF01565	FAD binding domain
FAD_binding_5	PF00941.20	Pfam	PF00941	FAD binding domain in molybdopterin dehydrogenase
FAD_binding_6	PF00970.23	Pfam	PF00970	Oxidoreductase FAD-binding domain
FAD_binding_8	PF08022.11	Pfam	PF08022	FAD-binding domain
FAD_binding_9	PF08021.10	Pfam	PF08021	Siderophore-interacting FAD-binding domain
FAD_oxidored	PF12831.6	Pfam	PF12831	FAD dependent oxidoreductase
FAD_syn	PF06574.11	Pfam	PF06574	FAD synthetase
Fae	PF08714.10	Pfam	PF08714	Formaldehyde-activating enzyme (Fae)
FAE1_CUT1_RppA	PF08392.11	Pfam	PF08392	FAE1/Type III polyketide synthase-like protein
Fasciclin	PF02469.21	Pfam	PF02469	Fasciclin domain
FAT	PF02259.22	Pfam	PF02259	FAT domain
FATC	PF02260.19	Pfam	PF02260	FATC domain
FA_desaturase	PF00487.23	Pfam	PF00487	Fatty acid desaturase
FA_desaturase_2	PF03405.13	Pfam	PF03405	Fatty acid desaturase
FA_hydroxylase	PF04116.12	Pfam	PF04116	Fatty acid hydroxylase superfamily
FA_synthesis	PF02504.14	Pfam	PF02504	Fatty acid synthesis protein
FBPase	PF00316.19	Pfam	PF00316	Fructose-1-6-bisphosphatase, N-terminal domain
FBPase_2	PF06874.10	Pfam	PF06874	Firmicute fructose-1,6-bisphosphatase
FBPase_glpX	PF03320.12	Pfam	PF03320	Bacterial fructose-1,6-bisphosphatase, glpX-encoded
FCH	PF00611.22	Pfam	PF00611	Fes/CIP4, and EFC/F-BAR homology domain
FCSD-flav_bind	PF09242.10	Pfam	PF09242	Flavocytochrome c sulphide dehydrogenase, flavin-binding
FdtA	PF05523.10	Pfam	PF05523	WxcM-like, C-terminal
FDX-ACB	PF03147.13	Pfam	PF03147	Ferredoxin-fold anticodon binding domain
Fe-ADH	PF00465.18	Pfam	PF00465	Iron-containing alcohol dehydrogenase
FemAB	PF02388.15	Pfam	PF02388	FemAB family
Fer2	PF00111.26	Pfam	PF00111	2Fe-2S iron-sulfur cluster binding domain
Fer2_2	PF01799.19	Pfam	PF01799	[2Fe-2S] binding domain
Fer2_3	PF13085.5	Pfam	PF13085	2Fe-2S iron-sulfur cluster binding domain
Fer2_BFD	PF04324.14	Pfam	PF04324	BFD-like [2Fe-2S] binding domain
Fer4	PF00037.26	Pfam	PF00037	4Fe-4S binding domain
Fer4_10	PF13237.5	Pfam	PF13237	4Fe-4S dicluster domain
Fer4_11	PF13247.5	Pfam	PF13247	4Fe-4S dicluster domain
Fer4_14	PF13394.5	Pfam	PF13394	4Fe-4S single cluster domain
Fer4_18	PF13746.5	Pfam	PF13746	4Fe-4S dicluster domain
Fer4_2	PF12797.6	Pfam	PF12797	4Fe-4S binding domain
Fer4_20	PF14691.5	Pfam	PF14691	Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster
Fer4_21	PF14697.5	Pfam	PF14697	4Fe-4S dicluster domain
Fer4_6	PF12837.6	Pfam	PF12837	4Fe-4S binding domain
Fer4_7	PF12838.6	Pfam	PF12838	4Fe-4S dicluster domain
Fer4_8	PF13183.5	Pfam	PF13183	4Fe-4S dicluster domain
Fer4_9	PF13187.5	Pfam	PF13187	4Fe-4S dicluster domain
FERM_M	PF00373.17	Pfam	PF00373	FERM central domain
Ferric_reduct	PF01794.18	Pfam	PF01794	Ferric reductase like transmembrane component
Ferritin	PF00210.23	Pfam	PF00210	Ferritin-like domain
Ferrochelatase	PF00762.18	Pfam	PF00762	Ferrochelatase
FeS	PF04060.12	Pfam	PF04060	Putative Fe-S cluster
FeThRed_B	PF02943.14	Pfam	PF02943	Ferredoxin thioredoxin reductase catalytic beta chain
Fe_bilin_red	PF05996.11	Pfam	PF05996	Ferredoxin-dependent bilin reductase
Fe_hyd_lg_C	PF02906.13	Pfam	PF02906	Iron only hydrogenase large subunit, C-terminal domain
Fe_hyd_SSU	PF02256.16	Pfam	PF02256	Iron hydrogenase small subunit
FGase	PF05013.11	Pfam	PF05013	N-formylglutamate amidohydrolase
FGGY_C	PF02782.15	Pfam	PF02782	FGGY family of carbohydrate kinases, C-terminal domain
FGGY_N	PF00370.20	Pfam	PF00370	FGGY family of carbohydrate kinases, N-terminal domain
FIST	PF08495.9	Pfam	PF08495	FIST N domain
FKBP_C	PF00254.27	Pfam	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase
FKBP_N	PF01346.17	Pfam	PF01346	Domain amino terminal to FKBP-type peptidyl-prolyl isomerase
Flavin_Reduct	PF01613.17	Pfam	PF01613	Flavin reductase like domain
Flavodoxin_1	PF00258.24	Pfam	PF00258	Flavodoxin
Flavodoxin_2	PF02525.16	Pfam	PF02525	Flavodoxin-like fold
Flavodoxin_5	PF12724.6	Pfam	PF12724	Flavodoxin domain
Flavokinase	PF01687.16	Pfam	PF01687	Riboflavin kinase
FlpD	PF02662.15	Pfam	PF02662	Methyl-viologen-reducing hydrogenase, delta subunit
FmdA_AmdA	PF03069.14	Pfam	PF03069	Acetamidase/Formamidase family
FMN_bind_2	PF04299.11	Pfam	PF04299	Putative FMN-binding domain
FMN_dh	PF01070.17	Pfam	PF01070	FMN-dependent dehydrogenase
FMN_red	PF03358.14	Pfam	PF03358	NADPH-dependent FMN reductase
fn3_3	PF14686.5	Pfam	PF14686	Polysaccharide lyase family 4, domain II
FolB	PF02152.17	Pfam	PF02152	Dihydroneopterin aldolase
Formyl_trans_C	PF02911.17	Pfam	PF02911	Formyl transferase, C-terminal domain
Formyl_trans_N	PF00551.18	Pfam	PF00551	Formyl transferase
FR47	PF08445.9	Pfam	PF08445	FR47-like protein
Frataxin_Cyay	PF01491.15	Pfam	PF01491	Frataxin-like domain
FRB_dom	PF08771.10	Pfam	PF08771	FKBP12-rapamycin binding domain
FrhB_FdhB_C	PF04432.12	Pfam	PF04432	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus
Fringe	PF02434.15	Pfam	PF02434	Fringe-like
Fructosamin_kin	PF03881.13	Pfam	PF03881	Fructosamine kinase
FSH1	PF03959.12	Pfam	PF03959	Serine hydrolase (FSH1)
FTCD	PF02971.13	Pfam	PF02971	Formiminotransferase domain
FTCD_C	PF04961.11	Pfam	PF04961	Formiminotransferase-cyclodeaminase
FTHFS	PF01268.18	Pfam	PF01268	Formate--tetrahydrofolate ligase
FtsJ	PF01728.18	Pfam	PF01728	FtsJ-like methyltransferase
Fucose_iso_C	PF02952.16	Pfam	PF02952	L-fucose isomerase, C-terminal domain
